date, sun_time
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 574
2018-02-01, 544
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-01, 0
2018-02-02, 0
2018-02-02, 0
2018-02-02, 0
2018-02-02, 0
2018-02-02, 0
2018-02-02, 0
2018-02-02, 0
2018-02-02, 0
2018-02-02, 0
2018-02-02, 0
2018-02-02, 0
2018-02-02, 0
2018-02-02, 12
2018-02-02, 0
2018-02-02, 0
2018-02-02, 132
2018-02-02, 0
2018-02-02, 0
2018-02-02, 0
2018-02-02, 0
2018-02-02, 0
2018-02-02, 0
2018-02-02, 0
2018-02-02, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-03, 0
2018-02-04, 0
2018-02-04, 0
2018-02-04, 0
2018-02-04, 0
2018-02-04, 0
2018-02-04, 0
2018-02-04, 0
2018-02-04, 0
2018-02-04, 0
2018-02-04, 0
2018-02-04, 0
2018-02-04, 19
2018-02-04, 0
2018-02-04, 0
2018-02-04, 0
2018-02-04, 546
2018-02-04, 0
2018-02-04, 0
2018-02-04, 0
2018-02-04, 0
2018-02-04, 0
2018-02-04, 0
2018-02-04, 0
2018-02-04, 0
2018-02-05, 0
2018-02-05, 0
2018-02-05, 0
2018-02-05, 0
2018-02-05, 0
2018-02-05, 0
2018-02-05, 0
2018-02-05, 0
2018-02-05, 2427
2018-02-05, 3600
2018-02-05, 3600
2018-02-05, 3600
2018-02-05, 3600
2018-02-05, 3528
2018-02-05, 3349
2018-02-05, 3600
2018-02-05, 1559
2018-02-05, 0
2018-02-05, 0
2018-02-05, 0
2018-02-05, 0
2018-02-05, 0
2018-02-05, 0
2018-02-05, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-06, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-07, 0
2018-02-08, 0
2018-02-08, 0
2018-02-08, 0
2018-02-08, 0
2018-02-08, 0
2018-02-08, 0
2018-02-08, 0
2018-02-08, 0
2018-02-08, 0
2018-02-08, 0
2018-02-08, 0
2018-02-08, 0
2018-02-08, 0
2018-02-08, 71
2018-02-08, 1321
2018-02-08, 922
2018-02-08, 1384
2018-02-08, 0
2018-02-08, 0
2018-02-08, 0
2018-02-08, 0
2018-02-08, 0
2018-02-08, 0
2018-02-08, 0
2018-02-09, 0
2018-02-09, 0
2018-02-09, 0
2018-02-09, 0
2018-02-09, 0
2018-02-09, 0
2018-02-09, 0
2018-02-09, 0
2018-02-09, 0
2018-02-09, 11
2018-02-09, 707
2018-02-09, 1192
2018-02-09, 2089
2018-02-09, 2974
2018-02-09, 3559
2018-02-09, 3580
2018-02-09, 0
2018-02-09, 0
2018-02-09, 0
2018-02-09, 0
2018-02-09, 0
2018-02-09, 0
2018-02-09, 0
2018-02-09, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 814
2018-02-10, 3598
2018-02-10, 270
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-10, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-11, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 171
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-12, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 94
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-13, 0
2018-02-14, 0
2018-02-14, 0
2018-02-14, 0
2018-02-14, 0
2018-02-14, 0
2018-02-14, 0
2018-02-14, 0
2018-02-14, 0
2018-02-14, 0
2018-02-14, 0
2018-02-14, 0
2018-02-14, 1667
2018-02-14, 3600
2018-02-14, 3472
2018-02-14, 2967
2018-02-14, 3600
2018-02-14, 1352
2018-02-14, 0
2018-02-14, 0
2018-02-14, 0
2018-02-14, 0
2018-02-14, 0
2018-02-14, 0
2018-02-14, 0
2018-02-15, 0
2018-02-15, 0
2018-02-15, 0
2018-02-15, 0
2018-02-15, 0
2018-02-15, 0
2018-02-15, 0
2018-02-15, 0
2018-02-15, 850
2018-02-15, 0
2018-02-15, 79
2018-02-15, 1060
2018-02-15, 170
2018-02-15, 0
2018-02-15, 123
2018-02-15, 0
2018-02-15, 0
2018-02-15, 0
2018-02-15, 0
2018-02-15, 0
2018-02-15, 0
2018-02-15, 0
2018-02-15, 0
2018-02-15, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 3
2018-02-16, 1131
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-16, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 3212
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-17, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-18, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-19, 0
2018-02-20, 0
2018-02-20, 0
2018-02-20, 0
2018-02-20, 0
2018-02-20, 0
2018-02-20, 0
2018-02-20, 0
2018-02-20, 0
2018-02-20, 0
2018-02-20, 0
2018-02-20, 72
2018-02-20, 2475
2018-02-20, 2465
2018-02-20, 876
2018-02-20, 0
2018-02-20, 0
2018-02-20, 0
2018-02-20, 0
2018-02-20, 0
2018-02-20, 0
2018-02-20, 0
2018-02-20, 0
2018-02-20, 0
2018-02-20, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-21, 0
2018-02-22, 0
2018-02-22, 0
2018-02-22, 0
2018-02-22, 0
2018-02-22, 0
2018-02-22, 0
2018-02-22, 0
2018-02-22, 169
2018-02-22, 3600
2018-02-22, 2041
2018-02-22, 382
2018-02-22, 0
2018-02-22, 0
2018-02-22, 0
2018-02-22, 503
2018-02-22, 0
2018-02-22, 935
2018-02-22, 238
2018-02-22, 0
2018-02-22, 0
2018-02-22, 0
2018-02-22, 0
2018-02-22, 0
2018-02-22, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-23, 0
2018-02-24, 0
2018-02-24, 0
2018-02-24, 0
2018-02-24, 0
2018-02-24, 0
2018-02-24, 0
2018-02-24, 0
2018-02-24, 0
2018-02-24, 1679
2018-02-24, 3600
2018-02-24, 3192
2018-02-24, 3600
2018-02-24, 3592
2018-02-24, 3600
2018-02-24, 3600
2018-02-24, 3600
2018-02-24, 1312
2018-02-24, 0
2018-02-24, 0
2018-02-24, 0
2018-02-24, 0
2018-02-24, 0
2018-02-24, 0
2018-02-24, 0
2018-02-25, 0
2018-02-25, 0
2018-02-25, 0
2018-02-25, 0
2018-02-25, 0
2018-02-25, 0
2018-02-25, 0
2018-02-25, 1709
2018-02-25, 3600
2018-02-25, 3446
2018-02-25, 3255
2018-02-25, 3432
2018-02-25, 3308
2018-02-25, 3593
2018-02-25, 3600
2018-02-25, 3575
2018-02-25, 3600
2018-02-25, 984
2018-02-25, 0
2018-02-25, 0
2018-02-25, 0
2018-02-25, 0
2018-02-25, 0
2018-02-25, 0
2018-02-26, 0
2018-02-26, 0
2018-02-26, 0
2018-02-26, 0
2018-02-26, 0
2018-02-26, 0
2018-02-26, 0
2018-02-26, 1722
2018-02-26, 3600
2018-02-26, 3600
2018-02-26, 3600
2018-02-26, 3600
2018-02-26, 3600
2018-02-26, 3600
2018-02-26, 3600
2018-02-26, 3600
2018-02-26, 3600
2018-02-26, 779
2018-02-26, 0
2018-02-26, 0
2018-02-26, 0
2018-02-26, 0
2018-02-26, 0
2018-02-26, 0
2018-02-27, 0
2018-02-27, 0
2018-02-27, 0
2018-02-27, 0
2018-02-27, 0
2018-02-27, 0
2018-02-27, 0
2018-02-27, 1848
2018-02-27, 3600
2018-02-27, 3600
2018-02-27, 2741
2018-02-27, 1346
2018-02-27, 3357
2018-02-27, 2158
2018-02-27, 2258
2018-02-27, 2818
2018-02-27, 2044
2018-02-27, 461
2018-02-27, 0
2018-02-27, 0
2018-02-27, 0
2018-02-27, 0
2018-02-27, 0
2018-02-27, 0
2018-02-28, 0
2018-02-28, 0
2018-02-28, 0
2018-02-28, 0
2018-02-28, 0
2018-02-28, 0
2018-02-28, 0
2018-02-28, 175
2018-02-28, 3600
2018-02-28, 3600
2018-02-28, 3599
2018-02-28, 2951
2018-02-28, 2486
2018-02-28, 2202
2018-02-28, 2787
2018-02-28, 2344
2018-02-28, 1913
2018-02-28, 0
2018-02-28, 0
2018-02-28, 0
2018-02-28, 0
2018-02-28, 0
2018-02-28, 0
2018-02-28, 0
2018-03-01, 0
2018-03-01, 0
2018-03-01, 0
2018-03-01, 0
2018-03-01, 0
2018-03-01, 0
2018-03-01, 0
2018-03-01, 722
2018-03-01, 2999
2018-03-01, 0
2018-03-01, 3311
2018-03-01, 3600
2018-03-01, 3600
2018-03-01, 3547
2018-03-01, 1853
2018-03-01, 97
2018-03-01, 9
2018-03-01, 179
2018-03-01, 0
2018-03-01, 0
2018-03-01, 0
2018-03-01, 0
2018-03-01, 0
2018-03-01, 0
2018-03-02, 0
2018-03-02, 0
2018-03-02, 0
2018-03-02, 0
2018-03-02, 0
2018-03-02, 0
2018-03-02, 0
2018-03-02, 0
2018-03-02, 370
2018-03-02, 949
2018-03-02, 2106
2018-03-02, 1448
2018-03-02, 0
2018-03-02, 0
2018-03-02, 0
2018-03-02, 0
2018-03-02, 0
2018-03-02, 0
2018-03-02, 0
2018-03-02, 0
2018-03-02, 0
2018-03-02, 0
2018-03-02, 0
2018-03-02, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 230
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-03, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 687
2018-03-04, 853
2018-03-04, 54
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-04, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-05, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-06, 0
2018-03-07, 0
2018-03-07, 0
2018-03-07, 0
2018-03-07, 0
2018-03-07, 0
2018-03-07, 0
2018-03-07, 0
2018-03-07, 0
2018-03-07, 785
2018-03-07, 3600
2018-03-07, 3600
2018-03-07, 2643
2018-03-07, 3321
2018-03-07, 3515
2018-03-07, 998
2018-03-07, 0
2018-03-07, 0
2018-03-07, 0
2018-03-07, 0
2018-03-07, 0
2018-03-07, 0
2018-03-07, 0
2018-03-07, 0
2018-03-07, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-08, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-09, 0
2018-03-10, 0
2018-03-10, 0
2018-03-10, 0
2018-03-10, 0
2018-03-10, 0
2018-03-10, 0
2018-03-10, 0
2018-03-10, 492
2018-03-10, 0
2018-03-10, 11
2018-03-10, 0
2018-03-10, 390
2018-03-10, 3518
2018-03-10, 1932
2018-03-10, 1456
2018-03-10, 2129
2018-03-10, 0
2018-03-10, 0
2018-03-10, 0
2018-03-10, 0
2018-03-10, 0
2018-03-10, 0
2018-03-10, 0
2018-03-10, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-11, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-12, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-13, 0
2018-03-14, 0
2018-03-14, 0
2018-03-14, 0
2018-03-14, 0
2018-03-14, 0
2018-03-14, 0
2018-03-14, 0
2018-03-14, 0
2018-03-14, 0
2018-03-14, 0
2018-03-14, 123
2018-03-14, 500
2018-03-14, 1850
2018-03-14, 3280
2018-03-14, 3255
2018-03-14, 3600
2018-03-14, 3600
2018-03-14, 2755
2018-03-14, 0
2018-03-14, 0
2018-03-14, 0
2018-03-14, 0
2018-03-14, 0
2018-03-14, 0
2018-03-15, 0
2018-03-15, 0
2018-03-15, 0
2018-03-15, 0
2018-03-15, 0
2018-03-15, 0
2018-03-15, 103
2018-03-15, 816
2018-03-15, 2480
2018-03-15, 3492
2018-03-15, 1756
2018-03-15, 754
2018-03-15, 96
2018-03-15, 0
2018-03-15, 0
2018-03-15, 0
2018-03-15, 0
2018-03-15, 0
2018-03-15, 0
2018-03-15, 0
2018-03-15, 0
2018-03-15, 0
2018-03-15, 0
2018-03-15, 0
2018-03-16, 0
2018-03-16, 0
2018-03-16, 0
2018-03-16, 0
2018-03-16, 0
2018-03-16, 0
2018-03-16, 1323
2018-03-16, 3600
2018-03-16, 3600
2018-03-16, 3598
2018-03-16, 3497
2018-03-16, 2869
2018-03-16, 2662
2018-03-16, 3524
2018-03-16, 3600
2018-03-16, 3600
2018-03-16, 3600
2018-03-16, 3417
2018-03-16, 170
2018-03-16, 0
2018-03-16, 0
2018-03-16, 0
2018-03-16, 0
2018-03-16, 0
2018-03-17, 0
2018-03-17, 0
2018-03-17, 0
2018-03-17, 0
2018-03-17, 0
2018-03-17, 0
2018-03-17, 1335
2018-03-17, 3600
2018-03-17, 3600
2018-03-17, 3600
2018-03-17, 3587
2018-03-17, 3380
2018-03-17, 3535
2018-03-17, 3562
2018-03-17, 3600
2018-03-17, 3600
2018-03-17, 3600
2018-03-17, 3600
2018-03-17, 492
2018-03-17, 0
2018-03-17, 0
2018-03-17, 0
2018-03-17, 0
2018-03-17, 0
2018-03-18, 0
2018-03-18, 0
2018-03-18, 0
2018-03-18, 0
2018-03-18, 0
2018-03-18, 0
2018-03-18, 1708
2018-03-18, 3598
2018-03-18, 3600
2018-03-18, 3600
2018-03-18, 3600
2018-03-18, 3600
2018-03-18, 3600
2018-03-18, 3600
2018-03-18, 3600
2018-03-18, 3600
2018-03-18, 3600
2018-03-18, 3600
2018-03-18, 721
2018-03-18, 0
2018-03-18, 0
2018-03-18, 0
2018-03-18, 0
2018-03-18, 0
2018-03-19, 0
2018-03-19, 0
2018-03-19, 0
2018-03-19, 0
2018-03-19, 0
2018-03-19, 0
2018-03-19, 123
2018-03-19, 633
2018-03-19, 3457
2018-03-19, 2364
2018-03-19, 2489
2018-03-19, 65
2018-03-19, 0
2018-03-19, 0
2018-03-19, 1146
2018-03-19, 3600
2018-03-19, 1167
2018-03-19, 0
2018-03-19, 0
2018-03-19, 0
2018-03-19, 0
2018-03-19, 0
2018-03-19, 0
2018-03-19, 0
2018-03-20, 0
2018-03-20, 0
2018-03-20, 0
2018-03-20, 0
2018-03-20, 0
2018-03-20, 0
2018-03-20, 1817
2018-03-20, 3600
2018-03-20, 3600
2018-03-20, 3600
2018-03-20, 3600
2018-03-20, 3600
2018-03-20, 3600
2018-03-20, 3600
2018-03-20, 3600
2018-03-20, 3600
2018-03-20, 3600
2018-03-20, 3600
2018-03-20, 477
2018-03-20, 0
2018-03-20, 0
2018-03-20, 0
2018-03-20, 0
2018-03-20, 0
2018-03-21, 0
2018-03-21, 0
2018-03-21, 0
2018-03-21, 0
2018-03-21, 0
2018-03-21, 0
2018-03-21, 0
2018-03-21, 0
2018-03-21, 882
2018-03-21, 3600
2018-03-21, 3600
2018-03-21, 3600
2018-03-21, 1310
2018-03-21, 557
2018-03-21, 1210
2018-03-21, 721
2018-03-21, 9
2018-03-21, 0
2018-03-21, 0
2018-03-21, 0
2018-03-21, 0
2018-03-21, 0
2018-03-21, 0
2018-03-21, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-22, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-23, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-24, 0
2018-03-25, 0
2018-03-25, 0
2018-03-25, 0
2018-03-25, 0
2018-03-25, 0
2018-03-25, 0
2018-03-25, 0
2018-03-25, 0
2018-03-25, 0
2018-03-25, 0
2018-03-25, 565
2018-03-25, 3570
2018-03-25, 3600
2018-03-25, 3593
2018-03-25, 3600
2018-03-25, 3592
2018-03-25, 3382
2018-03-25, 3443
2018-03-25, 712
2018-03-25, 0
2018-03-25, 0
2018-03-25, 0
2018-03-25, 0
2018-03-25, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-26, 0
2018-03-27, 0
2018-03-27, 0
2018-03-27, 0
2018-03-27, 0
2018-03-27, 0
2018-03-27, 0
2018-03-27, 0
2018-03-27, 0
2018-03-27, 395
2018-03-27, 100
2018-03-27, 0
2018-03-27, 835
2018-03-27, 0
2018-03-27, 0
2018-03-27, 0
2018-03-27, 0
